0;0;150000000;0;333899489868;0.0;1.0
2;0;150000000;0;333999979100;0.0;1.0
3;0;150000000;0;333900211545;0.0;1.0
4;9;150000000;126773259;333989817382;0.0;0.9996204277723383
5;0;150000000;0;333900304715;0.0;1.0
6;0;150000000;0;333899904451;0.0;1.0
7;0;150000000;0;333899706379;0.0;1.0
8;0;150000000;0;333900039107;0.0;1.0
9;0;150000000;0;334000247013;0.0;1.0
0;0;200000000;0;333899489868;0.0;1.0
2;0;200000000;0;333999979100;0.0;1.0
3;0;200000000;0;333900211545;0.0;1.0
4;0;200000000;0;333989817382;0.0;1.0
5;0;200000000;0;333900304715;0.0;1.0
6;0;200000000;0;333899904451;0.0;1.0
7;0;200000000;0;333899706379;0.0;1.0
8;0;200000000;0;333900039107;0.0;1.0
9;0;200000000;0;334000247013;0.0;1.0
0;0;400000000;0;333899489868;0.0;1.0
2;0;400000000;0;333999979100;0.0;1.0
3;0;400000000;0;333900211545;0.0;1.0
4;0;400000000;0;333989817382;0.0;1.0
5;0;400000000;0;333900304715;0.0;1.0
6;0;400000000;0;333899904451;0.0;1.0
7;0;400000000;0;333899706379;0.0;1.0
8;0;400000000;0;333900039107;0.0;1.0
9;0;400000000;0;334000247013;0.0;1.0
